Entidad Federativa,Año,Producto Interno Bruto                       (Miles de pesos),"Gasto Total en Salud
(I.1 + I.2)","I.1 Gasto Público Total en Salud
(Miles de pesos)
(1 + 2)","1. Gasto Total 
(A+B+C+D+E+F) con SS","A. Advo. Secretaria de Salud
(Ramo 12)",B. FASSA (Ramo 33),"C. IMSS 
Prospera","D. SEDENA
(Ramo 7)","E. SEMAR
(Ramo 13)","F. Gasto 
Estatal","2. Gasto Total
(A+B+C+D+E) sin SS",A. IMSS,B. ISSSTE,C. PEMEX,D. ISSFAM,E. ISSES,"I.2 Gasto Privado Total en Salud
(Miles de pesos constantes)
(A + B + C)",A. Gasto de los Hogares e ISFL,B. Cuotas de Recuperación,C. Pago de Primas,Gasto  público total en salud como % del PIB,Gasto total en salud como % del PIB,Gasto público total en salud como % del gasto total en salud,Gasto público total en salud como % del gasto público total,Gasto público en salud per cápita para población con seguridad social,Gasto público en salud per cápita para población sin seguridad social ,Gasto público en salud per cápita total,Aportación federal al financiamiento de la salud de la población sin seguridad social (%),Gasto privado en salud per cápita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oaxaca,2005,225438848.19,n.d.,9495335.06,6411689.03,2537329.84,2716492.88,1082393.25,n.d.,n.d.,75473.07,3083646.03,2060095.02,694874.48,328676.53,n.d.,n.d.,n.d.,n.d.,123647.43,23344.40,4.2,n.d.,n.d.,17.6,3670.72,2203.71,2532.38,98.8,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puebla,2005,476078671.02,n.d.,13346338.55,6172465.78,2515276.46,2531735.18,622504.51,n.d.,n.d.,502949.63,7173872.77,6305396.42,698073.14,170403.21,n.d.,n.d.,n.d.,n.d.,245792.87,524003.30,2.8,n.d.,n.d.,25.5,4562.10,1553.53,2406.62,91.9,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Querétaro de Arteaga,2005,270691102.38,n.d.,4720455.63,1707798.14,408073.84,1180839.29,,n.d.,n.d.,118885.01,3012657.49,2675388.34,246429.46,90839.70,n.d.,n.d.,n.d.,n.d.,178367.94,276078.49,1.7,n.d.,n.d.,17.7,3487.59,2061.28,2789.31,93.0,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quintana Roo,2005,198650009.01,n.d.,3829340.62,1351371.63,274673.75,932121.63,,n.d.,n.d.,144576.25,2477969.00,2211416.42,266552.58,,n.d.,n.d.,n.d.,n.d.,114590.51,106706.53,1.9,n.d.,n.d.,24.2,3922.29,2689.19,3375.99,89.3,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Luis Potosí,2005,275638928.80,n.d.,7212713.96,3292807.09,1271374.17,1302523.07,428259.97,n.d.,n.d.,290649.87,3919906.88,3313374.78,493005.99,113526.11,n.d.,n.d.,n.d.,n.d.,314976.84,121148.00,2.6,n.d.,n.d.,21.5,3701.22,2321.18,2911.08,91.2,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sinaloa,2005,310869469.87,n.d.,9606321.35,3315426.22,1106891.32,1388974.25,247436.30,n.d.,n.d.,572124.34,6290895.13,5359072.12,817819.49,114003.51,n.d.,n.d.,n.d.,n.d.,251142.61,111891.75,3.1,n.d.,n.d.,21.0,4216.59,2769.28,3572.24,82.7,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonora,2005,439593502.60,n.d.,10034929.53,3303509.25,790231.83,1687886.21,,n.d.,n.d.,825391.21,6731420.28,6050309.36,580334.10,100776.82,n.d.,n.d.,n.d.,n.d.,190183.81,801082.26,2.3,n.d.,n.d.,20.8,4305.13,3521.59,4011.31,75.0,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tabasco,2005,417780403.81,n.d.,14356474.77,10091998.58,4243643.85,3011735.09,,n.d.,n.d.,2836619.63,4264476.19,2478243.68,320412.25,1465820.26,n.d.,n.d.,n.d.,n.d.,95527.87,109460.41,3.4,n.d.,n.d.,31.7,6065.15,7120.98,6770.86,71.9,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tamaulipas,2005,521652468.24,n.d.,12107960.70,4025058.63,1339412.56,2048764.89,250407.32,n.d.,n.d.,386473.86,8082902.06,5436701.52,948219.85,1697980.69,n.d.,n.d.,n.d.,n.d.,182812.88,393426.65,2.3,n.d.,n.d.,14.1,4533.86,3114.12,3937.16,90.4,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tlaxcala,2005,86655412.24,n.d.,2961948.71,1513578.58,551683.49,843162.75,,n.d.,n.d.,118732.34,1448370.14,1274948.13,173422.01,,n.d.,n.d.,n.d.,n.d.,88338.53,6354.59,3.4,n.d.,n.d.,23.7,4169.76,2014.58,2695.96,92.2,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veracruz de Ignacio de la Llave,2005,681732936.22,n.d.,21834609.32,8560894.26,2622582.19,3719904.81,955027.57,n.d.,n.d.,1263379.69,13273715.06,9592411.22,1012212.21,2669091.63,n.d.,n.d.,n.d.,n.d.,429112.34,150864.15,3.2,n.d.,n.d.,13.9,5176.99,1766.62,2946.67,85.2,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yucatán,2005,198235063.42,n.d.,7957658.57,3077329.06,1320533.40,1281289.31,338142.74,n.d.,n.d.,137363.62,4880329.51,4263134.68,496461.31,120733.51,n.d.,n.d.,n.d.,n.d.,49330.55,329293.74,4.0,n.d.,n.d.,21.0,5208.39,3377.69,4305.90,95.5,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zacatecas,2005,113142666.42,n.d.,4364726.44,2388530.78,1032729.98,835768.90,384843.38,n.d.,n.d.,135188.52,1976195.66,1635262.79,340893.56,39.31,n.d.,n.d.,n.d.,n.d.,52544.53,31497.52,3.9,n.d.,n.d.,20.8,3810.21,2599.98,3036.70,94.3,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estados Unidos Mexicanos,2006,16385213521.40,945713778.43,415934976.57,167735972.22,64036497.71,64350496.44,8810302.29,3585094.48,944051.15,26009530.14,248199004.36,198387252.01,35369161.31,12826149.55,1616441.49,n.d.,529778801.86,491287613.58,6902849.59,31588338.69,2.5,5.8,44.0,16.1,5102.53,2806.52,3836.73,84.5,4886.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aguascalientes,2006,162045470.93,n.d.,4500203.20,1829384.54,670617.21,921026.56,,n.d.,n.d.,237740.77,2670818.66,2307654.17,262598.96,100565.53,n.d.,n.d.,n.d.,n.d.,54732.75,204483.47,2.8,n.d.,n.d.,23.1,4050.97,4022.42,4039.31,87.0,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baja California,2006,556115960.82,n.d.,10492307.62,2889398.47,697277.76,1309291.44,68974.27,n.d.,n.d.,813855.00,7602909.15,7000904.28,548347.42,53657.45,n.d.,n.d.,n.d.,n.d.,69431.58,564657.30,1.9,n.d.,n.d.,23.1,4133.50,2538.79,3523.94,71.8,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baja California Sur,2006,109318693.93,n.d.,3435518.27,1221560.60,502519.36,611584.24,,n.d.,n.d.,107457.00,2213957.67,1798165.45,415792.21,,n.d.,n.d.,n.d.,n.d.,64447.74,45978.55,3.1,n.d.,n.d.,20.9,5980.95,6269.03,6080.30,91.2,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campeche,2006,939227417.70,n.d.,4691860.71,2494474.57,746669.56,1021057.85,143352.40,n.d.,n.d.,583394.76,2197386.14,1470890.80,234344.18,492151.16,n.d.,n.d.,n.d.,n.d.,26911.14,31076.13,0.5,n.d.,n.d.,12.7,6203.62,5836.26,6002.73,76.6,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coahuila de Zaragoza,2006,519319915.95,n.d.,10454308.60,2114737.58,682753.62,1085426.32,220732.17,n.d.,n.d.,125825.47,8339571.01,7622451.30,665870.51,51249.20,n.d.,n.d.,n.d.,n.d.,159781.63,586242.73,2.0,n.d.,n.d.,23.8,4378.90,2933.70,3982.09,94.1,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colima,2006,82825301.86,n.d.,3493886.89,1810412.22,1077471.75,711001.79,,n.d.,n.d.,21938.68,1683474.67,1443121.98,240352.69,,n.d.,n.d.,n.d.,n.d.,22500.47,40821.50,4.2,n.d.,n.d.,15.1,5039.28,6680.74,5774.44,98.8,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiapas,2006,286461209.93,n.d.,10157753.95,7008193.55,1824389.37,2945711.05,1383523.46,n.d.,n.d.,854569.66,3149560.40,2479570.69,576112.14,93877.57,n.d.,n.d.,n.d.,n.d.,88926.39,51744.45,3.5,n.d.,n.d.,15.0,3806.58,1849.72,2200.46,87.8,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chihuahua,2006,491436454.62,n.d.,13439378.56,4457275.32,1076335.78,1769104.52,407790.08,n.d.,n.d.,1204044.94,8982103.25,8192030.30,688806.86,101266.08,n.d.,n.d.,n.d.,n.d.,111975.25,921895.79,2.7,n.d.,n.d.,22.6,4290.37,3627.07,4045.03,73.0,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distrito Federal,2006,2781584321.57,n.d.,85210076.19,18990373.90,9176240.76,3302988.11,444852.37,n.d.,n.d.,6066292.66,66219702.29,45379215.78,17862568.31,2977918.20,n.d.,n.d.,n.d.,n.d.,42639.71,16380816.98,3.1,n.d.,n.d.,8.9,13244.96,4773.44,9491.04,68.1,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Durango,2006,175581943.07,n.d.,8577635.81,5131332.52,3400532.72,1359750.82,334537.69,n.d.,n.d.,36511.29,3446303.29,2857861.02,510674.82,77767.45,n.d.,n.d.,n.d.,n.d.,81000.23,56340.19,4.9,n.d.,n.d.,22.9,4193.04,6720.21,5410.13,99.3,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guanajuato,2006,555533381.55,n.d.,14452581.45,6560604.85,3276677.09,2209405.51,,n.d.,n.d.,1074522.25,7891976.60,6594549.18,770497.73,526929.69,n.d.,n.d.,n.d.,n.d.,178271.71,390544.18,2.6,n.d.,n.d.,23.9,3684.34,2055.66,2709.76,83.6,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guerrero,2006,224292687.67,n.d.,8874097.04,5340935.24,2003245.30,2954071.39,,n.d.,n.d.,383618.55,3533161.80,2772084.16,761077.64,,n.d.,n.d.,n.d.,n.d.,176124.71,50095.54,4.0,n.d.,n.d.,15.5,4405.54,2116.48,2668.52,92.8,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hidalgo,2006,229340619.87,n.d.,7453773.40,4388314.18,1887361.49,1910116.65,488945.20,n.d.,n.d.,101890.84,3065459.22,2381796.17,415157.53,268505.52,n.d.,n.d.,n.d.,n.d.,194301.13,84519.98,3.3,n.d.,n.d.,14.6,3868.57,2522.68,2943.90,97.7,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jalisco,2006,1010586021.03,n.d.,25599736.33,9761640.22,3110538.68,3955278.37,,n.d.,n.d.,2695823.17,15838096.11,14774317.95,960803.11,102975.05,n.d.,n.d.,n.d.,n.d.,132221.10,2037489.14,2.5,n.d.,n.d.,34.4,4402.47,2868.24,3656.63,72.4,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
México,2006,1291288688.76,n.d.,32568732.71,16631115.08,6802470.43,7140044.13,,n.d.,n.d.,2688600.52,15937617.64,15259144.82,613323.40,65149.42,n.d.,n.d.,n.d.,n.d.,467793.65,1600903.14,2.5,n.d.,n.d.,27.9,2415.12,2105.77,2246.58,83.8,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michoacán de Ocampo,2006,346367941.79,n.d.,9822623.17,4972168.94,1465464.12,2439733.05,632598.00,n.d.,n.d.,434373.78,4850454.24,3901713.68,870341.45,78399.11,n.d.,n.d.,n.d.,n.d.,326594.88,160649.97,2.8,n.d.,n.d.,20.6,3935.76,1642.97,2306.47,91.3,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morelos,2006,196133293.21,n.d.,5861049.50,2463827.15,1173418.35,1027567.28,,n.d.,n.d.,262841.53,3397222.35,2852584.60,462966.88,81670.87,n.d.,n.d.,n.d.,n.d.,62349.24,158970.95,3.0,n.d.,n.d.,26.9,5072.82,2380.86,3438.48,89.3,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nayarit,2006,103359069.13,n.d.,3975626.66,1839709.89,704206.74,869772.66,141878.17,n.d.,n.d.,123852.33,2135916.77,1808281.73,327635.04,,n.d.,n.d.,n.d.,n.d.,51981.39,24878.86,3.8,n.d.,n.d.,24.0,4546.98,3368.40,3913.36,93.3,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nuevo León,2006,1132135589.00,n.d.,18491855.25,3551797.80,1494741.74,1783590.05,,n.d.,n.d.,273466.01,14940057.45,13606225.62,834190.91,499640.92,n.d.,n.d.,n.d.,n.d.,124353.24,4373946.24,1.6,n.d.,n.d.,29.9,4876.51,2640.44,4194.27,92.3,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oaxaca,2006,262982754.41,n.d.,10072657.30,6872627.72,2835622.41,2764544.98,1063317.02,n.d.,n.d.,209143.31,3200029.58,2158382.05,712242.13,329405.39,n.d.,n.d.,n.d.,n.d.,96294.08,48299.60,3.8,n.d.,n.d.,16.9,3794.08,2361.47,2683.36,97.0,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puebla,2006,500842713.54,n.d.,13803336.84,6422486.29,2339804.02,2745649.70,725027.56,n.d.,n.d.,612005.01,7380850.56,6472500.14,715584.31,192766.10,n.d.,n.d.,n.d.,n.d.,248084.84,854034.18,2.8,n.d.,n.d.,25.3,4642.15,1605.30,2468.95,90.5,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Querétaro de Arteaga,2006,290560517.48,n.d.,4940612.25,1870204.19,510787.83,1243787.05,,n.d.,n.d.,115629.31,3070408.06,2724150.89,249993.64,96263.53,n.d.,n.d.,n.d.,n.d.,167008.28,381833.92,1.7,n.d.,n.d.,18.4,3498.25,2228.70,2877.73,93.8,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quintana Roo,2006,213163675.03,n.d.,4750248.84,2199446.27,1046163.57,1003875.70,,n.d.,n.d.,149407.00,2550802.57,2255717.62,295084.95,,n.d.,n.d.,n.d.,n.d.,136108.14,153171.53,2.2,n.d.,n.d.,27.9,3894.36,4232.61,4043.98,93.2,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Luis Potosí,2006,297584664.73,n.d.,7648670.42,3572998.36,1490320.59,1359142.02,450147.27,n.d.,n.d.,273388.48,4075672.06,3446065.73,516991.20,112615.13,n.d.,n.d.,n.d.,n.d.,330124.40,202741.76,2.6,n.d.,n.d.,21.6,3798.98,2503.74,3059.60,92.4,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sinaloa,2006,321386225.68,n.d.,9707384.25,3338639.75,1142010.96,1435390.95,233520.76,n.d.,n.d.,527717.08,6368744.50,5384744.60,865778.61,118221.29,n.d.,n.d.,n.d.,n.d.,159797.37,166632.02,3.0,n.d.,n.d.,20.0,4214.64,2757.94,3566.71,84.2,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonora,2006,485838471.78,n.d.,12213967.93,5200892.12,2728714.44,1756241.34,,n.d.,n.d.,715936.34,7013075.82,6287073.23,612123.67,113878.92,n.d.,n.d.,n.d.,n.d.,190409.18,723726.35,2.5,n.d.,n.d.,23.2,4412.64,5458.75,4804.71,86.2,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tabasco,2006,472918933.97,n.d.,14316320.80,10279890.46,3269197.48,3675755.46,,n.d.,n.d.,3334937.53,4036430.34,2151094.30,319810.73,1565525.31,n.d.,n.d.,n.d.,n.d.,67764.56,88738.40,3.0,n.d.,n.d.,33.0,5679.65,7156.67,6667.78,67.6,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tamaulipas,2006,553464358.55,n.d.,12443985.87,3948259.48,953476.05,2130821.69,288480.81,n.d.,n.d.,575480.92,8495726.39,5804496.58,931750.28,1759479.53,n.d.,n.d.,n.d.,n.d.,681717.39,557369.71,2.2,n.d.,n.d.,15.2,4677.96,3006.44,3976.49,85.4,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tlaxcala,2006,86344621.03,n.d.,4485707.22,2932711.69,1924327.14,882463.83,,n.d.,n.d.,125920.72,1552995.53,1353928.02,199067.51,,n.d.,n.d.,n.d.,n.d.,85093.86,13018.53,5.2,n.d.,n.d.,34.9,4418.72,3850.29,4029.76,95.7,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veracruz de Ignacio de la Llave,2006,755761834.73,n.d.,22197424.63,8595474.14,2810880.82,3796575.94,1071479.31,n.d.,n.d.,916538.06,13601950.49,9727813.74,1032282.96,2841853.79,n.d.,n.d.,n.d.,n.d.,446249.71,212368.07,2.9,n.d.,n.d.,13.1,5272.80,1764.31,2978.93,89.3,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yucatán,2006,208885154.06,n.d.,7580798.91,2583123.44,720639.78,1333284.03,327552.93,n.d.,n.d.,201646.70,4997675.47,4320748.60,552509.53,124417.35,n.d.,n.d.,n.d.,n.d.,47065.95,376429.50,3.6,n.d.,n.d.,19.4,5274.74,2792.27,4048.33,92.2,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zacatecas,2006,126009110.30,n.d.,4075268.87,1932816.06,491620.81,896441.97,383592.81,n.d.,n.d.,161160.46,2142452.81,1797972.84,344479.97,,n.d.,n.d.,n.d.,n.d.,55555.73,43920.01,3.2,n.d.,n.d.,18.0,4081.30,2093.92,2814.40,91.7,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estados Unidos Mexicanos,2007,17088432302.71,1001698315.30,448086852.02,187345594.41,78941431.83,64616657.66,8600775.23,4473069.80,1993451.41,28720208.49,260741257.60,201051617.49,44433202.72,13567637.33,1688800.06,n.d.,553611463.28,509035439.18,8268915.24,36307108.86,2.6,5.9,44.7,15.8,5289.09,3097.16,4081.41,84.7,5042.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aguascalientes,2007,178097605.21,n.d.,4750281.00,1862929.91,700465.74,925275.35,,n.d.,n.d.,237188.82,2887351.10,2488359.76,300460.02,98531.31,n.d.,n.d.,n.d.,n.d.,58100.44,263010.41,2.7,n.d.,n.d.,21.9,4306.17,4027.80,4192.54,87.3,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baja California,2007,562984146.73,n.d.,12073663.42,4102215.94,1979245.53,1384376.34,71792.19,n.d.,n.d.,666801.88,7971447.48,7307294.56,610998.50,53154.42,n.d.,n.d.,n.d.,n.d.,41948.23,810001.09,2.1,n.d.,n.d.,25.3,4247.57,3520.99,3969.28,83.8,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baja California Sur,2007,125168048.72,n.d.,3460557.82,1190344.19,388205.16,628902.91,,n.d.,n.d.,173236.11,2270213.63,1848099.59,422114.04,,n.d.,n.d.,n.d.,n.d.,59505.95,81768.09,2.8,n.d.,n.d.,20.7,5932.12,5894.55,5919.13,85.5,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campeche,2007,976042242.68,n.d.,5000102.45,2675748.52,682206.44,1074392.63,105812.86,n.d.,n.d.,813336.60,2324353.93,1489303.40,259826.54,575223.99,n.d.,n.d.,n.d.,n.d.,24674.08,42034.10,0.5,n.d.,n.d.,9.4,6444.71,6154.13,6285.88,69.6,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coahuila de Zaragoza,2007,549125606.74,n.d.,10578949.38,2137175.59,571590.76,1170743.78,251361.85,n.d.,n.d.,143479.20,8441773.79,7693933.11,689147.11,58693.57,n.d.,n.d.,n.d.,n.d.,185422.98,849879.25,1.9,n.d.,n.d.,24.1,4372.15,2914.80,3971.04,93.3,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colima,2007,89857343.51,n.d.,2967556.22,1262846.26,478087.73,766895.85,,n.d.,n.d.,17862.67,1704709.96,1463674.33,241035.63,,n.d.,n.d.,n.d.,n.d.,14198.13,49321.30,3.3,n.d.,n.d.,13.8,4988.53,4585.16,4808.51,98.6,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiapas,2007,294263651.96,n.d.,12110744.11,8976762.54,4301418.50,3027933.43,1281013.65,n.d.,n.d.,366396.96,3133981.57,2436613.68,597707.67,99660.23,n.d.,n.d.,n.d.,n.d.,83637.55,93875.48,4.1,n.d.,n.d.,20.6,3741.84,2331.34,2583.35,95.9,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chihuahua,2007,516547666.16,n.d.,14875149.81,5239712.89,1466114.78,1784538.14,392176.95,n.d.,n.d.,1596883.02,9635436.92,8836843.45,698172.70,100420.77,n.d.,n.d.,n.d.,n.d.,77586.68,1215680.73,2.9,n.d.,n.d.,25.9,4521.53,4206.81,4405.44,69.5,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distrito Federal,2007,2860599716.20,n.d.,97536363.38,22983147.36,13142635.90,3212354.78,178519.47,n.d.,n.d.,6449637.21,74553216.01,45490258.81,25907518.38,3155438.82,n.d.,n.d.,n.d.,n.d.,39785.75,17079085.97,3.4,n.d.,n.d.,9.0,14957.67,5761.38,10869.44,71.9,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Durango,2007,181899544.02,n.d.,6247791.09,2650907.51,692910.59,1547580.30,362266.59,n.d.,n.d.,48150.03,3596883.58,2945314.28,570382.99,81186.31,n.d.,n.d.,n.d.,n.d.,97194.28,107600.65,3.4,n.d.,n.d.,17.9,4303.10,3444.83,3891.69,98.2,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guanajuato,2007,564459107.61,n.d.,17088265.90,8876942.46,5675148.45,2230587.86,,n.d.,n.d.,971206.15,8211323.44,6848068.98,824653.60,538600.86,n.d.,n.d.,n.d.,n.d.,162997.08,483601.88,3.0,n.d.,n.d.,27.2,3787.42,2766.28,3178.01,89.1,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guerrero,2007,235924314.18,n.d.,9513605.31,5731709.77,2324353.99,3036766.65,,n.d.,n.d.,370589.13,3781895.54,2957372.36,824523.18,,n.d.,n.d.,n.d.,n.d.,162933.21,79876.16,4.0,n.d.,n.d.,16.4,4699.20,2252.11,2840.01,93.5,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hidalgo,2007,230622894.59,n.d.,7690525.04,4502378.81,1806114.32,2027650.25,552599.20,n.d.,n.d.,116015.05,3188146.23,2401038.21,448980.91,338127.11,n.d.,n.d.,n.d.,n.d.,244061.88,98478.31,3.3,n.d.,n.d.,16.1,3948.47,2561.38,2997.99,97.4,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jalisco,2007,1047965848.75,n.d.,26052755.03,10046820.00,3116567.99,3809002.45,,n.d.,n.d.,3121249.56,16005935.03,14868742.09,1012399.78,124793.16,n.d.,n.d.,n.d.,n.d.,89545.68,2551803.24,2.5,n.d.,n.d.,32.3,4379.42,2914.79,3668.55,68.9,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
México,2007,1350481361.97,n.d.,37993365.55,21801960.15,9612368.53,7172636.70,,n.d.,n.d.,5016954.92,16191405.40,15477879.80,656094.49,57431.10,n.d.,n.d.,n.d.,n.d.,498270.85,1985032.59,2.8,n.d.,n.d.,31.8,2413.71,2705.89,2573.16,77.0,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michoacán de Ocampo,2007,364858754.03,n.d.,10606926.38,5660224.16,1984952.81,2622294.67,601537.69,n.d.,n.d.,451438.99,4946702.23,3985980.35,880334.73,80387.15,n.d.,n.d.,n.d.,n.d.,304006.47,217607.56,2.9,n.d.,n.d.,22.6,3967.69,1859.77,2472.33,92.0,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morelos,2007,199605848.17,n.d.,6299220.24,2928854.06,1565013.89,1099557.20,,n.d.,n.d.,264282.96,3370366.19,2812665.15,471383.18,86317.85,n.d.,n.d.,n.d.,n.d.,53709.52,254995.51,3.2,n.d.,n.d.,27.1,4973.91,2789.61,3646.39,91.0,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nayarit,2007,104695130.10,n.d.,4264982.20,2082282.93,783695.52,961729.88,167299.47,n.d.,n.d.,169558.05,2182699.27,1843626.83,339072.44,,n.d.,n.d.,n.d.,n.d.,36118.54,42670.90,4.1,n.d.,n.d.,23.9,4540.81,3750.43,4117.18,91.9,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nuevo León,2007,1207794942.01,n.d.,18431901.59,3339605.68,1196049.27,1857394.64,,n.d.,n.d.,286161.78,15092295.91,13703211.41,878099.76,510984.74,n.d.,n.d.,n.d.,n.d.,150459.21,5637051.03,1.5,n.d.,n.d.,27.7,4839.53,2440.06,4107.66,91.4,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oaxaca,2007,257885706.59,n.d.,10586568.14,7350615.01,3132200.53,3012491.55,1133515.78,n.d.,n.d.,72407.15,3235953.12,2115925.74,741191.03,378836.35,n.d.,n.d.,n.d.,n.d.,67036.90,49889.75,4.1,n.d.,n.d.,19.2,3814.30,2512.86,2805.45,99.0,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puebla,2007,528570339.17,n.d.,14870371.02,7643974.00,4188110.65,2377900.06,741838.38,n.d.,n.d.,336124.91,7226397.02,6279138.74,766122.84,181135.45,n.d.,n.d.,n.d.,n.d.,135384.53,552540.51,2.8,n.d.,n.d.,27.5,4487.78,1891.70,2631.44,95.6,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Querétaro de Arteaga,2007,308081503.21,n.d.,5175030.95,2042185.14,680995.72,1269379.81,,n.d.,n.d.,91809.61,3132845.82,2749712.73,286196.24,96936.85,n.d.,n.d.,n.d.,n.d.,1323018.33,502231.31,1.7,n.d.,n.d.,19.8,3502.88,2395.14,2962.25,95.5,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
