Entidad Federativa,Año,Producto Interno Bruto                       (Miles de pesos),"Gasto Total en Salud
(I.1 + I.2)","I.1 Gasto Público Total en Salud
(Miles de pesos)
(1 + 2)","1. Gasto Total 
(A+B+C+D+E+F) con SS","A. Advo. Secretaria de Salud
(Ramo 12)",B. FASSA (Ramo 33),"C. IMSS 
Prospera","D. SEDENA
(Ramo 7)","E. SEMAR
(Ramo 13)","F. Gasto 
Estatal","2. Gasto Total
(A+B+C+D+E) sin SS",A. IMSS,B. ISSSTE,C. PEMEX,D. ISSFAM,E. ISSES,"I.2 Gasto Privado Total en Salud
(Miles de pesos constantes)
(A + B + C)",A. Gasto de los Hogares e ISFL,B. Cuotas de Recuperación,C. Pago de Primas,Gasto  público total en salud como % del PIB,Gasto total en salud como % del PIB,Gasto público total en salud como % del gasto total en salud,Gasto público total en salud como % del gasto público total,Gasto público en salud per cápita para población con seguridad social,Gasto público en salud per cápita para población sin seguridad social ,Gasto público en salud per cápita total,Aportación federal al financiamiento de la salud de la población sin seguridad social (%),Gasto privado en salud per cápita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quintana Roo,1993,103627287.16,n.d.,1613731.11,334278.40,334278.40,n.d.,n.d.,n.d.,n.d.,n.d.,1279452.71,1227397.95,52054.76,,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,1.6,n.d.,n.d.,n.d.,n.d.,n.d.,2372.31,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Luis Potosí,1993,142607292.73,n.d.,3365026.94,748244.27,748244.27,n.d.,n.d.,n.d.,n.d.,n.d.,2616782.67,2473012.98,85850.57,57919.12,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,2.4,n.d.,n.d.,n.d.,n.d.,n.d.,1479.30,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sinaloa,1993,187622090.99,n.d.,5441036.86,655728.07,655728.07,n.d.,n.d.,n.d.,n.d.,n.d.,4785308.80,4583701.64,181033.03,20574.12,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,2.9,n.d.,n.d.,n.d.,n.d.,n.d.,2344.39,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonora,1993,211808325.97,n.d.,5741849.59,790288.72,790288.72,n.d.,n.d.,n.d.,n.d.,n.d.,4951560.87,4777682.06,173878.82,,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,2.7,n.d.,n.d.,n.d.,n.d.,n.d.,2889.19,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tabasco,1993,103705125.01,n.d.,2720617.19,532240.74,532240.74,n.d.,n.d.,n.d.,n.d.,n.d.,2188376.45,1462146.92,98846.81,627382.72,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,2.6,n.d.,n.d.,n.d.,n.d.,n.d.,1557.46,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tamaulipas,1993,224983450.33,n.d.,5991829.01,790170.76,790170.76,n.d.,n.d.,n.d.,n.d.,n.d.,5201658.25,4197653.25,209601.03,794403.96,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,2.7,n.d.,n.d.,n.d.,n.d.,n.d.,2495.44,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tlaxcala,1993,40899219.54,n.d.,1221461.00,282395.34,282395.34,n.d.,n.d.,n.d.,n.d.,n.d.,939065.66,910183.58,28882.09,,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,3.0,n.d.,n.d.,n.d.,n.d.,n.d.,1395.21,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veracruz de Ignacio de la Llave,1993,367789399.89,n.d.,10869930.41,1614613.35,1614613.35,n.d.,n.d.,n.d.,n.d.,n.d.,9255317.06,7847893.95,189694.87,1217728.25,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,3.0,n.d.,n.d.,n.d.,n.d.,n.d.,1581.92,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yucatán,1993,104902740.49,n.d.,4305697.94,777672.17,777672.17,n.d.,n.d.,n.d.,n.d.,n.d.,3528025.77,3408616.70,119409.07,,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,4.1,n.d.,n.d.,n.d.,n.d.,n.d.,2811.88,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zacatecas,1993,67629646.70,n.d.,1819809.48,606091.78,606091.78,n.d.,n.d.,n.d.,n.d.,n.d.,1213717.70,1144653.36,69064.34,,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,2.7,n.d.,n.d.,n.d.,n.d.,n.d.,1279.10,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
